"","gvkey","fyear","tic","cusip","act","aqc","at","ceq","ceqt","ch","csho","dltis","dltr","dltt","dp","dv","dvt","ebit","epspx","intan","lct","lt","ni","prstkc","rdip","re","sale","seq","sstk","txdb","txpd","xint","xrd","WC_TA","RE_TA","EBIT_TA","MVE_TL","S_TA","NewZ","dividends","interestpaid","netequityrepurchased","netnewdebtissued","ES"
"116435",6375,1950,"K","48783610",31.6,NA,49,NA,18.796,NA,2.186,0,0,0,1.62,NA,7.32,17.03,4.6,0,14.9,14.904,10.05,0,NA,NA,106.1,NA,0,0,0,0,NA,0.340816326530612,NA,0.347551020408163,NA,2.16530612244898,NA,7.32,0,0,0,7.32
"116436",6375,1951,"K","48783610",39.4,NA,60.5,NA,22.231,NA,4.372,0,0,4.5,1.85,NA,4.91,16.95,NA,0,18.5,23,8.34,0,NA,NA,133.5,NA,0,0,0,0,NA,0.345454545454545,NA,0.280165289256198,NA,2.20661157024793,NA,4.91,0,0,0,4.91
"116437",6375,1952,"K","48783610",35.3,NA,62.9,NA,25.838,NA,4.402,0,0,4,2.02,NA,6.04,18.61,NA,0,17.8,21.8,9,0,NA,NA,152.4,NA,0,0,0,0,NA,0.278219395866455,NA,0.295866454689984,NA,2.42289348171701,NA,6.04,0,0,0,6.04
"116438",6375,1953,"K","48783610",41.1,NA,69.1,NA,29.384,NA,4.402,0,0,3.5,2.45,NA,6.03,21.07,2.05,0,21.2,24.7,9.56,0,NA,NA,160.2,NA,0,0,0,0,NA,0.287988422575977,NA,0.304920405209841,NA,2.31837916063676,NA,6.03,0,0,0,6.03
"116439",6375,1954,"K","48783610",43.6,NA,75.5,NA,36.174,NA,4.406,0,0,2.5,2.71,NA,6.01,25.9,2.76,0,22.9,25.426,12.67,0,NA,NA,169.5,NA,0,0,0,0,NA,0.274172185430464,NA,0.343046357615894,NA,2.24503311258278,NA,6.01,0,0,0,6.01
"116440",6375,1955,"K","48783610",47,NA,82,NA,43.028,NA,4.413,0,0,2.5,2.87,NA,7.1,27.4,3.01,0,22.8,25.3,13.78,0,NA,NA,182.1,NA,0,0,0,0,NA,0.295121951219512,NA,0.334146341463415,NA,2.22073170731707,NA,7.1,0,0,0,7.1
"116441",6375,1956,"K","48783610",53.8,NA,91.6,NA,51.153,NA,4.418,0,0,2,3.19,NA,7.1,30.73,3.3,0,24.9,26.9,15.08,0,NA,NA,201.7,NA,0,0,0,0,NA,0.315502183406114,NA,0.335480349344978,NA,2.20196506550218,NA,7.1,0,0,0,7.1
"116442",6375,1957,"K","48783610",63.1,NA,103.6,NA,60.172,NA,4.422,0,0,1.5,3.48,NA,8.21,34.76,3.76,0,28.6,30.1,17.08,0,NA,NA,213.2,NA,0,0,0,0,NA,0.333011583011583,NA,0.335521235521236,NA,2.05791505791506,NA,8.21,0,0,0,8.21
"116443",6375,1958,"K","48783610",60.6,NA,113.6,NA,69.927,NA,8.876,0,0,1,4.08,NA,9.32,37.05,2.04,0,29.5,30.573,18.59,0,NA,NA,220,NA,0,0,0,0,NA,0.273767605633803,NA,0.326144366197183,NA,1.93661971830986,NA,9.32,0,0,0,9.32
"116444",6375,1959,"K","48783610",64.1,NA,120.7,NA,79.221,NA,8.889,0,0,0,5.13,NA,10.24,38.32,2.12,0,28.4,28.4,19.33,0,NA,NA,242.4,NA,0,0,0,0,NA,0.295774647887324,NA,0.317481358740679,NA,2.0082850041425,NA,10.24,0,0,0,10.24
"116445",6375,1960,"K","48783610",71.9,NA,132.5,NA,89.673,NA,8.906,0,0,0,5.55,NA,11.53,42.58,2.37,0,31.4,31.427,21.49,0,NA,NA,256.2,NA,0,0,0,0,NA,0.305660377358491,NA,0.321358490566038,NA,1.93358490566038,NA,11.53,0,0,0,11.53
"116446",6375,1961,"K","48783610",73.3,NA,144.2,NA,100.001,NA,8.934,0,0,0,5.98,NA,12.44,44.68,2.45,0,32.9,32.9,22.29,0,NA,NA,272.5,NA,0,0,0,0,NA,0.280166435506241,NA,0.309847434119279,NA,1.88973647711512,NA,12.44,0,0,0,12.44
"116447",6375,1962,"K","48783610",80.9,NA,156.4,NA,111.405,NA,8.948,0,0,0,7.07,NA,13.79,49.57,2.71,0,36.1,36.1,24.62,0,NA,NA,289.2,NA,0,0,0,0,NA,0.286445012787724,NA,0.316943734015345,NA,1.84910485933504,NA,13.79,0,0,0,13.79
"116448",6375,1963,"K","48783610",88.532,NA,174.216,124.767,124.767,NA,17.918,0,0,0,8.83,NA,15.53,56.01,1.56,0,43.463,43.463,28.23,0,NA,111.353,321.6,130.753,0,0,0,0,NA,0.258696101391376,0.639166322266612,0.321497451439592,3.0083749396038,1.84598429535749,4.83156136268062,15.53,0,0,0,15.53
"116449",6375,1964,"K","48783610",103.011,NA,198.174,140.269,140.269,NA,17.956,0,0,0,8.01,NA,18.1,64.23,1.81,0,54.935,54.935,32.61,0,NA,126.234,349.1,143.239,0,0,0,0,NA,0.242594891358099,0.636985679251567,0.324109116231191,2.60742695913352,1.76158325511924,4.57365384300522,18.1,0,0,0,18.1
"116450",6375,1965,"K","48783610",102.543,NA,207.565,155.868,155.868,NA,17.968,0,0,0,8.82,NA,19.86,62.29,1.96,0,48.772,48.772,35.25,0,NA,141.568,366,158.793,0,0,0,0,NA,0.259056199262882,0.682041770047937,0.300098764242526,3.2558230132043,1.76330306169152,4.82306165571756,19.86,0,0,0,19.86
"116451",6375,1966,"K","48783610",122.838,NA,234.826,172.757,172.757,NA,17.971,0,0,2.462,10.7,NA,21.66,70.99,2.14,0,56.769,59.231,38.48,0,NA,157.173,426.7,175.595,0,0,0,1.035,NA,0.281353001797075,0.669316855884783,0.302308943643379,2.96457935878172,1.81709010075545,4.76649461836516,21.66,1.035,0,0,22.695
"116452",6375,1967,"K","48783610",134.512,NA,250.344,190.238,190.238,NA,17.976,0,0,0,11.54,NA,23.47,75.32,2.27,0,57.347,57.347,40.83,0,NA,174.536,447.1,192.997,0,0,0,1.099,NA,0.308235867446394,0.697184673888729,0.300866008372479,3.36542452089909,1.78594254306075,4.94216018050836,23.47,1.099,0,0,24.569
"116453",6375,1968,"K","48783610",157.538,NA,285.666,205.589,205.589,NA,17.979,0,0,1.45,11.21,NA,27.07,85.25,2.35,0,67.568,77.413,42.33,0,NA,189.807,466.6,208.253,0,8.395,0,0.974,NA,0.314948226250236,0.664436789817479,0.298425433898329,2.69015540025577,1.63337604055085,4.47577821889611,27.07,0.974,0,0,28.044
"116454",6375,1969,"K","48783610",145.582,NA,317.117,221.461,200.674,8.638,17.982,0,0,7.599,12.57,NA,28.86,90.98,2.48,20.787,75.019,93.074,44.63,0,NA,205.577,542.2,224.043,0,10.456,0,1.49,NA,0.222514087860316,0.648268620099206,0.286897265047285,2.4071491501386,1.7097790405434,4.31737805024231,28.86,1.49,0,0,30.35
