"","gvkey","fyear","tic","cusip","act","aqc","at","ceq","ceqt","ch","csho","dltis","dltr","dltt","dp","dv","dvt","ebit","epspx","intan","lct","lt","ni","prstkc","rdip","re","sale","seq","sstk","txdb","txpd","xint","xrd","WC_TA","RE_TA","EBIT_TA","MVE_TL","S_TA","NewZ","dividends","interestpaid","netequityrepurchased","netnewdebtissued","ES"
"46649",3144,1950,"KO","19121610",121.9,NA,232.5,NA,141.146,NA,4.276,0,0,2.1,5.82,NA,21.52,55.67,NA,41.433,43.1,49.541,31.83,0,NA,NA,215.2,NA,0,0,0,0.22,NA,0.338924731182796,NA,0.239440860215054,NA,0.925591397849462,NA,21.52,0.22,0,0,21.74
"46650",3144,1951,"KO","19121610",135.8,NA,244.8,NA,146.006,NA,4.276,0,0,1.2,5.73,NA,21.38,58.3,6.11,41.441,51.4,56.983,26.12,0,NA,NA,225.7,NA,0,0,0,0.19,NA,0.344771241830065,NA,0.238153594771242,NA,0.921977124183006,NA,21.38,0.19,0,0,21.57
"46651",3144,1952,"KO","19121610",139.7,NA,250.7,NA,153.526,NA,4.276,0,0,1.1,5.67,NA,21.38,60.28,6.38,41.441,53,55.363,27.27,0,NA,NA,245.6,NA,0,0,0,0.23,NA,0.345831671320303,NA,0.240446749102513,NA,0.97965696051057,NA,21.38,0.23,0,0,21.61
"46652",3144,1953,"KO","19121610",143.2,NA,259.8,NA,164.43,NA,4.276,0,0,0,5.53,NA,21.38,60.18,6.6,40.091,54,54.909,28.21,0,NA,NA,251.2,NA,0,0,0,0.33,NA,0.34334103156274,NA,0.231639722863741,NA,0.966897613548884,NA,21.38,0.33,0,0,21.71
"46653",3144,1954,"KO","19121610",142,NA,258,NA,169.425,NA,4.268,0,0,0,5.65,NA,21.36,55.38,6.07,40.091,47.3,48.114,25.94,0,NA,NA,243.3,NA,0,0,0,0.31,NA,0.367054263565891,NA,0.214651162790698,NA,0.943023255813954,NA,21.36,0.31,0,0,21.67
"46654",3144,1955,"KO","19121610",147.5,NA,265.4,NA,176.807,NA,4.266,0,0,0,6.16,NA,21.34,59.26,6.44,40.091,47.6,48.132,27.48,0,NA,NA,252.9,NA,0,0,0,0.03,NA,0.376412961567445,NA,0.2232856066315,NA,0.952901281085155,NA,21.34,0.03,0,0,21.37
"46655",3144,1956,"KO","19121610",147.3,NA,274.2,NA,183.203,NA,4.235,0,0,0,7.48,NA,21.25,58.69,6.87,40.125,50.1,50.502,26.066,0,NA,NA,273.3,NA,0,0,0,0,NA,0.354485776805252,NA,0.214040846097739,NA,0.99671772428884,NA,21.25,0,0,0,21.25
"46656",3144,1957,"KO","19121610",157.1,NA,288.1,NA,195.477,NA,4.23,0,0,0,8.83,NA,21.16,66.31,7.07,40.127,52,52.206,29.92,0,NA,NA,296.8,NA,0,0,0,0,NA,0.364803887539049,NA,0.230163137799375,NA,1.03019784796945,NA,21.16,0,0,0,21.16
"46657",3144,1958,"KO","19121610",166.9,NA,303.5,NA,209.499,NA,4.232,0,0,0,9.45,NA,21.16,67.5,7.1,40.131,53.6,53.6,30.04,0,NA,NA,309.2,NA,0,0,0,0,NA,0.37331136738056,NA,0.222405271828666,NA,1.01878088962109,NA,21.16,0,0,0,21.16
"46658",3144,1959,"KO","19121610",186.6,NA,326.5,NA,225.735,NA,4.268,0,0,0,9.59,NA,27.67,79.11,7.91,40.198,60.6,60.6,33.58,0,NA,NA,342.3,NA,0,0,0,0,NA,0.385911179173047,NA,0.242297090352221,NA,1.04839203675345,NA,27.67,0,0,0,27.67
"46659",3144,1960,"KO","19121610",233.7,NA,424.1,NA,219.669,NA,13.753,0,0,17.5,13.44,NA,32.22,86.78,2.87,42.334,93.7,162.097,39.34,0,NA,NA,502,NA,0,0,0,0,NA,0.330110822919123,NA,0.204621551520868,NA,1.18368309361,NA,32.22,0,0,0,32.22
"46660",3144,1961,"KO","19121610",241.8,NA,440.6,NA,232.306,NA,13.848,0,0,14.1,14.41,NA,33.17,97.93,3.08,42.894,94.9,165.4,42.49,0,NA,NA,536.5,NA,0,0,0,1.62,NA,0.333408987743985,NA,0.222265093054925,NA,1.21765773944621,NA,33.17,1.62,0,0,34.79
"46661",3144,1962,"KO","19121610",242,NA,452,285.329,242.493,NA,13.836,0,0,6.6,14.32,NA,33.17,106.78,3.38,42.836,98.7,166.671,46.74,0,NA,NA,567.7,NA,0,0,0,0.87,NA,0.317035398230089,NA,0.236238938053097,NA,1.25597345132743,NA,33.17,0.87,0,0,34.04
"46662",3144,1963,"KO","19121610",260.7,NA,483.2,303.225,260.075,NA,13.896,0,0,4.437,15.66,NA,37.47,119.33,3.78,43.15,109.092,179.975,52.39,0,NA,247.381,637.4,303.225,0,0,0,0.79,NA,0.313758278145695,0.511963990066225,0.246957781456954,1.68481733574108,1.31912251655629,3.45000356453774,37.47,0.79,0,0,38.26
