"","gvkey","fyear","tic","cusip","act","aqc","at","ceq","ceqt","ch","csho","dltis","dltr","dltt","dp","dv","dvt","ebit","epspx","intan","lct","lt","ni","prstkc","rdip","re","sale","seq","sstk","txdb","txpd","xint","xrd","WC_TA","RE_TA","EBIT_TA","MVE_TL","S_TA","NewZ","dividends","interestpaid","netequityrepurchased","netnewdebtissued","ES"
"162359",8479,1950,"PEP","71344810",19.1,NA,33.4,NA,22.688,NA,5.752,0,0,4.1,0.93,NA,0,2.94,0.28,0,5.4,10.712,1.62,0,NA,NA,40.2,NA,0,0,0,0.15,NA,0.410179640718563,NA,0.0880239520958084,NA,1.20359281437126,NA,0,0.15,0,0,0.15
"162360",8479,1951,"PEP","71344810",18.5,NA,37,NA,26.817,NA,5.752,0,0,4.1,1.5,NA,0,3.97,0.46,0,4.8,10.183,2.63,0,NA,NA,46.8,NA,0,0,0,0.14,NA,0.37027027027027,NA,0.107297297297297,NA,1.26486486486486,NA,0,0.14,0,0,0.14
"162361",8479,1952,"PEP","71344810",23.5,NA,41.2,NA,29.002,NA,5.752,0,0,3.6,1.8,NA,2.01,7.77,0.68,0,7,12.198,4.194,0,NA,NA,53.3,NA,0,0,0,0.13,NA,0.400485436893204,NA,0.188592233009709,NA,1.29368932038835,NA,2.01,0.13,0,0,2.14
"162362",8479,1953,"PEP","71344810",29.9,NA,48.6,NA,31.607,NA,5.752,0,0,3.2,1.82,NA,2.87,11.14,0.95,0,11.9,NA,5.48,0,NA,NA,66.1,NA,0,NA,0,0.11,NA,0.37037037037037,NA,0.229218106995885,NA,1.36008230452675,NA,2.87,0.11,0,0,2.98
"162363",8479,1954,"PEP","71344810",29.3,NA,50.8,NA,34.62,NA,5.813,0,0,2.8,1.89,NA,3.77,12.99,1.07,0,11.2,NA,6.21,0,NA,NA,74.2,NA,0,NA,0,0.1,NA,0.356299212598425,NA,0.255708661417323,NA,1.46062992125984,NA,3.77,0.1,0,0,3.87
"162364",8479,1955,"PEP","71344810",32.8,NA,58.1,NA,39.094,NA,5.909,0,0,2,2.06,NA,5.9,18.36,1.6,0,14.3,NA,9.46,0,NA,NA,89,NA,0,NA,0,0.08,NA,0.3184165232358,NA,0.316006884681583,NA,1.53184165232358,NA,5.9,0.08,0,0,5.98
"162365",8479,1956,"PEP","71344810",32,NA,62.7,NA,42.164,NA,5.919,0,0,3.1,2.63,NA,5.92,17.05,1.5,0,14.6,NA,8.88,0,NA,NA,97,NA,0,NA,0,0.09,NA,0.277511961722488,NA,0.271929824561404,NA,1.54704944178628,NA,5.92,0.09,0,0,6.01
"162366",8479,1957,"PEP","71344810",33.7,NA,77.4,NA,42.021,NA,5.926,0,0,8.9,4.26,NA,6.22,18.95,1.61,3.554,19.4,NA,9.56,0,NA,NA,120.3,NA,0,NA,0,0.49,NA,0.184754521963824,NA,0.244832041343669,NA,1.55426356589147,NA,6.22,0.49,0,0,6.71
"162367",8479,1958,"PEP","71344810",36.3,NA,83.9,NA,44.516,NA,6.139,0,0,9,5.3,NA,7.29,24.32,1.88,4.495,19,NA,11.55,0,NA,NA,136.8,NA,0,NA,0,0.66,NA,0.206197854588796,NA,0.289868891537545,NA,1.63051251489869,NA,7.29,0.66,0,0,7.95
"162368",8479,1959,"PEP","71344810",58.7,NA,109.1,NA,54.582,NA,6.384,0,0,18.4,5.79,NA,8.03,30.37,2.17,4.012,23.4,NA,13.87,0,NA,NA,157.8,NA,0,NA,0,1.05,NA,0.323556370302475,NA,0.278368469294225,NA,1.44637946837764,NA,8.03,1.05,0,0,9.08
"162369",8479,1960,"PEP","71344810",63.2,NA,114.3,NA,62.621,NA,6.496,0,0,20,5.45,NA,9.05,28.07,2.18,3.554,19,48.125,14.18,0,NA,NA,157.7,NA,0,0,0,0.99,NA,0.386701662292214,NA,0.245581802274716,NA,1.37970253718285,NA,9.05,0.99,0,0,10.04
"162370",8479,1961,"PEP","71344810",70.7,NA,127.1,NA,68.993,NA,6.509,0,0,19.673,5.727,NA,9.11,30.393,2.21,3.129,26.279,55.014,14.37,0,NA,NA,173.9,NA,0,0,0,1.11,NA,0.349496459480724,NA,0.23912667191188,NA,1.36821400472069,NA,9.11,1.11,0,0,10.22
"162371",8479,1962,"PEP","71344810",67.2,NA,134.2,79.098,75.831,NA,6.523,0,0,17.029,5.663,NA,9.12,32.287,2.36,3.267,29.104,55.103,15.41,0,NA,NA,191.6,NA,0,0,0,1.06,NA,0.283874813710879,NA,0.240588673621461,NA,1.42771982116244,NA,9.12,1.06,0,0,10.18
"162372",8479,1963,"PEP","71344810",78,NA,149.2,NA,NA,NA,6.557,0,0,15.537,6.157,NA,9.15,33.763,2.46,2.903,36.554,62.221,16.15,0,NA,NA,218.5,NA,0,0,0,1.15,NA,0.277788203753351,NA,0.226293565683646,NA,1.46447721179625,NA,9.15,1.15,0,0,10.3
"162373",8479,1964,"PEP","71344810",86.5,NA,164.9,NA,NA,NA,6.635,0,0,14.132,6.616,NA,9.24,34.974,2.8,2.427,43.75,68.109,18.58,0,NA,NA,252.5,NA,0,0,0,1.06,NA,0.259248029108551,NA,0.212092177077016,NA,1.53123104912068,NA,9.24,1.06,0,0,10.3
"162374",8479,1965,"PEP","71344810",129,NA,271.4,170.448,164.218,NA,10.331,0,0,17.831,13.77,NA,17.61,59.59,3.21,6.23,74.998,100.952,33.2,0,NA,134.582,510,170.448,0,5.959,0,1.62,NA,0.1989756816507,0.495880619012528,0.219565217391304,1.6884063713448,1.87914517317612,3.82938313727653,17.61,1.62,0,0,19.23
"162375",8479,1966,"PEP","71344810",178.9,NA,365.8,192.214,187.813,NA,10.422,0,0,69.391,16.47,NA,16.62,66.75,3.65,4.401,102.094,173.585,38.04,0,NA,149.762,604.7,192.214,0,2.1,0,4.4,NA,0.209967195188628,0.409409513395298,0.182476763258611,1.10731918080479,1.65308911973756,3.17912863767667,16.62,4.4,0,0,21.02
"162376",8479,1967,"PEP","71344810",177.5,NA,380.2,216.368,211.287,NA,20.987,0,0,66.553,19.8,NA,18.32,69.39,1.88,5.081,93.279,163.832,39.25,0,NA,170.69,665.3,216.368,0,4,0,5.14,NA,0.221517622304051,0.448947922146239,0.18250920568122,1.32066995458763,1.74986849026828,3.40719326151597,18.32,5.14,0,0,23.46
"162377",8479,1968,"PEP","71344810",225.8,NA,471.9,264.163,256.249,NA,22.196,0,0,68.271,22.63,NA,19.78,85.21,2.1,7.914,133.665,207.736,46.45,0,NA,212.725,848.3,264.163,0,5.8,0,5.36,NA,0.195242636151727,0.450784064420428,0.180567916931553,1.27162841298571,1.79762661580843,3.41094288662204,19.78,5.36,0,0,25.14
"162378",8479,1969,"PEP","71344810",215.679,NA,554.227,297.573,289.849,31.413,22.386,0,0,91.112,23.83,NA,21.76,89.82,2.33,7.724,158.542,256.654,49.4,0,NA,240.371,949.4,297.573,0,7,0,5.39,NA,0.103093136927649,0.433704962046237,0.162063558794501,1.15943254342422,1.71301650767646,3.14134950210408,21.76,5.39,0,0,27.15
"162379",8479,1970,"PEP","71344810",311.388,NA,757.895,331.24,268.65,30.848,22.714,0,0,177.514,26.03,NA,22.594,100.024,2.49,62.59,214.223,405.183,56.053,0,NA,264.916,1122.593,331.24,0,4.5,0,13.819,NA,0.128203774929245,0.349541823075756,0.131976065286088,0.817507151089755,1.48119858291716,2.61962285482233,22.594,13.819,0,0,36.413
"162380",8479,1971,"PEP","71344810",343.32,13.412,827.74,382.395,315.208,33.087,23.003,61.264,40.977,197.801,29.936,22.895,22.895,108.547,2.74,67.187,194.779,434.177,62.662,0,NA,304.683,1225.398,382.395,11.388,33,0,14.557,NA,0.179453693188682,0.368090221567159,0.131136588783918,0.880735276166172,1.4804141397057,2.69524422445139,22.895,14.557,-11.388,20.287,5.77699999999999
"162381",8479,1972,"PEP","71344810",384.718,76.903,935.552,440.768,377.08,17.042,23.564,49.508,40.631,207.053,33.996,23.324,23.324,120.798,3.05,63.688,236.701,494.784,71.718,0,NA,353.819,1400.115,440.768,8.342,37.3,0,14.351,NA,0.158213546654809,0.378192767478451,0.12911949309071,0.890829129478722,1.49656566390751,2.70266341899934,23.324,14.351,-8.342,8.877,20.456
"162382",8479,1973,"PEP","71344810",515.611,17.338,1149.664,498.558,377.668,16.255,23.684,21.443,22.791,222.964,41.634,26.968,26.968,136.269,3.36,120.89,367.178,651.106,79.596,0,NA,406.447,1697.924,498.558,5.162,44,0,24.434,NA,0.129109896456704,0.353535467754057,0.11852941381134,0.765709423657592,1.4768871600746,2.55581856934961,26.968,24.434,-5.162,-1.348,47.588
"162383",8479,1974,"PEP","71344810",675.034,2.51,1380.029,556.926,435.729,14.875,23.723,197.137,71.103,348.998,48.001,30.826,30.826,172.387,3.69,121.197,388.028,823.103,87.419,0,NA,463.04,2080.759,556.926,1.775,64.9,0,41.079,NA,0.207970991913938,0.335529180908517,0.124915490906351,0.676617628656438,1.5077646919014,2.61034941423114,30.826,41.079,-1.775,126.034,-55.904
"162384",8479,1975,"PEP","71344810",694.67,0,1363.919,627.173,506.94,18.945,23.751,103.693,170.376,282.315,52.42,35.607,35.607,201.497,4.41,120.233,383.638,736.746,104.6,0,NA,532.033,2321.241,627.173,1.254,44.4,0,34.771,NA,0.228042867648299,0.390076683439412,0.147733846364777,0.851274387645131,1.70189065479695,3.00893286393068,35.607,34.771,-1.254,-66.683,135.807
"162385",8479,1976,"PEP","71344810",838.746,NA,1541.65,752.982,621.121,30.819,24.534,2.928,22.174,278.588,61.196,46.309,46.309,254.483,5.56,131.861,437.848,788.668,136.033,0,NA,637.397,2727.454,752.982,9.042,37.3,0,27.186,NA,0.260044757240619,0.413451172445108,0.165071838614471,0.954751555787733,1.76917847760516,3.21615921065849,46.309,27.186,-9.042,-19.246,83.699
"162386",8479,1977,"PEP","71344810",980.021,NA,2047.29,971.847,831.25,30.351,86.859,31.892,11.209,427.85,89.907,66.287,66.287,356.074,2.15,140.597,564.128,1075.444,187.339,0,NA,806.165,3545.712,971.847,4.972,34,0,42.091,NA,0.203143179520244,0.393771766579234,0.173924553922502,0.903670484004746,1.73190510382017,3.12754483194037,66.287,42.091,-4.972,20.683,82.723
"162387",8479,1978,"PEP","71344810",1009.364,NA,2419.368,1167.659,1010.056,30.128,93.075,65.324,58.015,479.134,115.948,88.385,88.385,430.362,2.43,157.603,650.684,1251.71,225.769,0,NA,971.654,4300,1167.659,26.874,45.1,0,51.996,NA,0.148253593500451,0.401614801882144,0.177881992321962,0.932851059750262,1.7773236646926,3.16471137633666,88.385,51.996,-26.874,7.309,106.198
"162388",8479,1979,"PEP","71344810",1201.094,0,2887.576,1263.649,1095.852,38.619,90.954,189.429,51.095,618.95,141.231,102.449,102.449,480.726,2.85,167.797,843.558,1623.929,264.855,95.092,NA,1134.06,5090.559,1263.649,28.676,63,0,73.121,NA,0.123818732390074,0.392737714955381,0.166480812972542,0.778143009946863,1.7629177552383,3.02489474550209,102.449,73.121,66.416,138.334,103.652
"162389",8479,1980,"PEP","71344810",1357.635,0,3417.538,1428.923,1271.567,45.43,91.277,186.307,23.548,781.709,171.225,114.886,114.886,575.03,3.2,157.356,1005.263,1988.615,273.99,0,NA,1293.164,5975.215,1428.923,6.17,80.6,0,125.317,NA,0.103106973499636,0.378390525577184,0.168258553379655,0.718551856442801,1.74839753062,2.96389631577844,114.886,125.317,-6.17,162.759,71.274
"162390",8479,1981,"PEP","71344810",1774.025,0,4057.061,1640.304,1484.801,28.862,91.605,183.838,149.055,816.072,202.716,126.161,129.944,643.336,3.61,155.503,1368.411,2416.757,333.456,0,NA,1496.676,7027.441,1640.304,7.869,95.9,0,152.649,NA,0.0999772988377547,0.36890645716197,0.158571931750595,0.678721112631514,1.73215068740647,2.89057973776885,129.944,152.649,-7.869,34.783,239.941
"162391",8479,1982,"PEP","71344810",1590.572,130.284,4197.469,1650.465,1413.875,20.308,93.374,149.826,132.561,864.151,229.348,142.497,147.127,643.582,2.4,236.59,1345.641,2547.005,224.288,0,NA,1443.784,7498.996,1650.465,63.053,184.3,0,172.291,NA,0.0583520688300497,0.343965375324988,0.153326206816536,0.648002261479659,1.78655184826856,2.86470132522387,147.127,172.291,-63.053,17.265,239.1
"162392",8479,1983,"PEP","71344810",1899.92,0,4638.34,1794.157,1558.298,25.221,93.561,63.206,137.137,819.19,260.148,151.271,151.358,548.509,3.01,235.86,1456.035,2844.182,284.111,0,NA,1581.574,7895.934,1794.158,5.903,349.4,0,184.298,NA,0.0956991078704881,0.34097845349845,0.118255453459643,0.630816874588194,1.70231893306657,2.68870208688292,151.358,184.298,-5.903,-73.931,403.684
"162393",8479,1984,"PEP","71344810",2290.076,0,4950.23,1853.376,1689.471,28.139,93.908,41.356,197.244,686.294,255.13,154.624,156.185,695.193,2.19,163.904,1625.332,3096.858,212.547,0,NA,1629.486,7698.676,1853.376,11.306,554.1,0,215.262,NA,0.134285477644473,0.329173795965036,0.140436504970476,0.598469803910932,1.55521581825491,2.61489181785773,156.185,215.262,-11.306,-155.888,516.029
"162394",8479,1985,"PEP","71344810",2794.544,0,5861.133,1837.682,1651.966,25.738,87.706,689.928,220.527,1162.668,290.405,161.054,161.054,765.046,4.51,185.716,1835.719,4023.478,543.69,458.169,NA,2020.511,8056.648,1837.682,51.452,734.2,0,208.378,66,0.163590384316479,0.344730447167809,0.130528687883384,0.456739666527318,1.37458883802842,2.37850394785356,161.054,208.378,406.717,469.401,306.748
"162395",8479,1986,"PEP","71344810",2503.8,1678.3,8028.589,2059.1,774.5,34.9,260.319,1371.1,78.3,2632.6,399.2,162.6,162.6,850.598,1.75,1284.6,2223.1,5969.5,457.8,158,NA,2316.6,9290.796,2059.1,83.2,711.6,0,274.2,82,0.0349625569324822,0.288543852475198,0.105946138231762,0.344936761872854,1.15721405093722,1.89841251067511,162.6,274.2,74.8,1292.8,-781.2
"162396",8479,1987,"PEP","71344810",2939.6,NA,9022.7,2508.6,1124.3,41.8,260.413,707.2,846.9,2579.2,548.7,174.7,174.7,1075.3,2.3,1384.3,2722.8,6514.1,594.8,18.6,NA,2766.9,11485.2,2508.6,17.8,755,0,301.8,83,0.0240282842164762,0.306659868997085,0.119177186429783,0.385103084079151,1.27292273931307,2.07937289620876,174.7,301.8,0.800000000000001,-139.7,617
"162397",8479,1988,"PEP","71344810",3264.7,NA,11135.3,3161,578.6,142.7,262.811,475.4,190,2656,619,199,209.2,1383.9,2.9,2582.4,3873.6,7974.3,762.2,71.8,NA,3353.7,13007,3161,2.9,765.9,234.7,346.9,93,-0.0546819573787864,0.301177336937487,0.1242804414789,0.396398429956234,1.16808707443895,1.93426781349209,209.2,346.9,68.9,285.4,339.6
"162398",8479,1989,"PEP","71344810",3550.8,NA,15126.7,3891.1,-1583.8,76.2,263.685,71.7,405.4,6076.5,760.1,241.9,252.7,1778.5,3.4,5474.9,3691.8,11235.6,901.4,0,NA,4044.6,15242.4,3891.1,0,856.9,239.7,612.6,91,-0.00932126637006088,0.267381517449278,0.117573561979811,0.34631884367546,1.00764872708522,1.73617719833822,252.7,612.6,0,-333.7,1199
"162399",8479,1990,"PEP","71344810",4081.4,NA,17143.4,4904.2,-941,170.8,788.4,777.3,298,5899.6,874.7,293.9,302.3,2138.6,1.37,5845.2,4770.5,12239.2,1076.9,147.7,NA,5136.2,17802.7,4904.2,9.3,942.8,375,688.5,101,-0.0401962271194745,0.299602179264323,0.124747716322316,0.400696123929669,1.03845794883162,1.81720691059007,302.3,688.5,138.4,479.3,649.9
"162400",8479,1991,"PEP","71344810",4566.1,NA,18775.1,5545.4,-387,186.7,789.1,2799.6,1348.5,7806.2,1008.7,343.2,363.2,2292.9,1.35,5932.4,3722.1,13229.7,1080.2,195.2,NA,5800.3,19607.9,5545.4,15.8,1070.1,385.9,615.9,99,0.0449531560417788,0.308935771314134,0.122124515981273,0.419162943982101,1.04435662126966,1.89165722683845,363.2,615.9,179.4,1451.1,-292.6
"162401",8479,1992,"PEP","71344810",4842.3,NA,20951.2,5355.7,-1603.3,169.9,798.8,1092.7,616.3,7964.8,1188.9,395.5,404.6,2564.7,1.61,6959,4324.4,15595.5,374.3,32,NA,5340.7,21970,5355.7,82.8,1682.3,519.7,586.1,102,0.0247193478177861,0.254911413188743,0.122413036007484,0.343413164053733,1.04862728626523,1.80473460282673,404.6,586.1,-50.8,476.4,463.5
"162402",8479,1993,"PEP","71344810",5164.1,NA,23705.8,6338.7,-1590.8,226.9,798.781,710.8,1201.9,7442.6,1405.2,461.6,485.7,2906.5,1.96,7929.5,6574.9,17367.1,1587.9,463.5,0,6358,25020.7,6338.7,68.6,2007.6,675.6,572.7,113,-0.0595128618312818,0.268204405672873,0.122607125682322,0.364983215390019,1.05546743834842,1.7720882031024,485.7,572.7,394.9,-491.1,1944.4
"162403",8479,1994,"PEP","71344810",5072.2,NA,24792,6856.1,-986,330.7,789.9,1285.2,1179.5,8840.5,1512.2,540.2,554.8,3201.2,2.22,7842.1,5270.4,17935.9,1752,549.1,0,7268.5,28472.4,6856.1,97.4,1972.9,663.1,645,152,-0.00799451435947079,0.29317925137141,0.129122297515328,0.382255699463088,1.14845111326234,1.95047534230628,554.8,645,451.7,105.7,1545.8
"162404",8479,1995,"PEP","71344810",5546,NA,25432,7313,-271,382,788,2030,928,8509,1616,599,615,3507,2,7584,5230,18119,1606,541,0,7922,30421,7313,252,1885,790,682,96,0.0124252909720038,0.311497326203209,0.137897137464612,0.403609470721342,1.19617017930167,2.06448739166962,615,682,289,1102,484
"162405",8479,1996,"PEP","71344810",5139,NA,24512,6623,-513,447,1545,1773,1424,8439,1719,675,695,3368,0.72,7136,5139,17889,1149,1651,0,8416,31645,6623,323,1778,679,608,115,0,0.343342036553525,0.137402088772846,0.370227514114819,1.29100032637076,2.16163287642431,695,608,1328,349,2282
"162406",8479,1997,"PEP","71344810",6251,NA,20101,6936,1081,1928,1502,0,1875,4946,1106,736,746,2952,0.98,5855,4257,13165,2142,2459,0,10579,20917,6936,403,1697,696,478,NA,0.0991990448236406,0.526292224267449,0.14685836525546,0.526851500189897,1.04059499527387,2.23297560530487,746,478,2056,-1875,5155
"162407",8479,1998,"PEP","71344810",4362,NA,22660,6401,-2595,311,1471,990,2277,4028,1234,757,760,2872,1.35,8996,7914,16259,1993,2230,0,11741,22348,6401,415,2003,521,395,NA,-0.156751985878199,0.518137687555163,0.126743159752868,0.39368964880989,0.986231244483672,1.86987087933157,760,395,1815,-1287,4257
"162408",8479,1999,"PEP","71344810",4173,NA,17551,6881,2146,964,1455,3480,1123,2812,1032,778,784,2883,1.4,4735,3788,10670,2050,1285,0,13077,20367,6881,308,1209,525,363,NA,0.0219360720186884,0.745085750099709,0.164264144493191,0.644892221180881,1.16044669819384,2.58616502860562,784,363,977,2357,-233
"162409",8479,2000,"PEP","71344810",4604,NA,18339,7249,2764,864,1446,130,795,2346,960,796,801,3225,1.51,4485,3935,11090,2183,1430,0,14185,20438,7249,559,1361,691,221,NA,0.0364796335678063,0.773488194558046,0.175854735808932,0.653651938683499,1.1144555319265,2.61444149732684,801,221,871,-665,2558
"162410",8479,2001,"PEP","71344810",5853,NA,21695,8648,3822,683,1756,324,573,2651,1082,994,1010,4408,1.51,4841,4998,13021,2662,1731,0,9873,26935,8674,1147,1496,857,219,206,0.0394100023046785,0.455081816086656,0.203180456326342,0.666154673220183,1.24153030652224,2.56382515634547,1010,219,584,-249,2062
"162411",8479,2002,"PEP","71344810",6413,NA,23474,9298,4073.02,1638,1722,11,353,2187,1067,1041,1046,4954,1.89,5219,6052,14183,3313,2190,0,11792,25112,9291,456,1718,1056,178,NA,0.0153787168782483,0.502343017806935,0.21104200391923,0.6550800253825,1.06977933032291,2.43499196458414,1046,178,1734,-342,3300
"162412",8479,2003,"PEP","71344810",6930,NA,25327,11896,6512.55,820,1705,52,641,1702,1165,1070,1085,4987,2.07,5383,6415,13453,3568,1945,0,14694,26971,11874,689,1261,1580,163,NA,0.0203340308761401,0.580171358629131,0.196904489280215,0.88262841002007,1.06491096458325,2.55125196395321,1085,163,1256,-589,3093
"162413",8479,2004,"PEP","71344810",8639,NA,27987,13572,8139.861,1280,1679,504,512,2397,1209,1329,1441,5409,2.45,5440,6752,14464,4212,3055,0,17844,29261,13523,965,1216,1833,167,NA,0.0674241612177082,0.637581734376675,0.193268303140744,0.934941924778761,1.04552113481259,2.62496517141848,1441,167,2090,-8,3706
"162414",8479,2005,"PEP","71344810",10454,NA,31727,14320,8629.321,1716,1656,25,177,2313,1253,1642,1686,6035,2.43,5704,9406,17476,4078,3031,0,20063,32562,14251,1099,1434,1258,256,NA,0.0330318025656381,0.632363601979387,0.19021653481262,0.815461203936828,1.02631827780755,2.51705789388431,1686,256,1932,-152,4026
"162415",8479,2006,"PEP","71344810",9130,NA,29930,15447,9019.973,1651,1638,51,157,2550,1344,1854,1914,6506,3.42,6443,6860,14562,5642,3010,0,22591,35137,15368,1194,528,2155,239,344,0.0758436351486803,0.754794520547945,0.217373872368861,1.05534953989837,1.17397260273973,2.98394293104732,1914,239,1816,-106,4075
"162416",8479,2007,"PEP","71344810",10151,NA,34628,17325,10130.571,910,1605,2168,579,4203,1362,2204,2308,7272,3.48,7213,7753,17394,5658,4312,0,27232,39474,17234,1108,646,1731,224,364,0.0692503176620076,0.786415617419429,0.21000346540372,0.990801425779004,1.13994455354049,2.92202853598786,2308,224,3204,1589,4147
"162417",8479,2008,"PEP","71344810",10806,NA,35994,12203,5239.232,2064,1553,3719,649,7858,1486,2541,2591,7478,3.26,6984,8787,23888,5142,4726,0,25944,43251,12106,620,226,1477,329,388,0.0560926821136856,0.720786797799633,0.207756848363616,0.506781647689216,1.20161693615603,2.70828739299074,2591,329,4106,3070,3956
"162418",8479,2009,"PEP","71344810",12571,NA,39848,16908,7773.003,3943,1565,1057,226,7400,1563,2732,2769,8044,3.81,9157,8756,22406,5946,7,0,30011,43232,16804,413,659,1498,397,414,0.0957388074683798,0.753136920297129,0.201867094960851,0.749977684548782,1.08492270628388,2.73149624887166,2769,397,-406,831,1929
"162419",8479,2010,"PEP","71344810",17569,NA,68153,21273,-7172.757,5943,1581,6451,59,19999,2241,2978,3029,9864,3.97,28469,15892,46677,6320,4983,0,33460,57838,21164,1038,4057,1495,695,488,0.0246064003051957,0.49095417663199,0.144733173888163,0.453413886925038,0.848649362463868,1.9205528441441,3029,695,3945,6392,1277
"162420",8479,2011,"PEP","71344810",17441,NA,72882,20704,-12516.118,4067,1564,3000,1596,20568,2609,3157,3193,10375,4.08,33245,18154,51983,6443,2496,0,34087,66504,20588,945,4995,2218,840,525,-0.00978293680195384,0.467701215663676,0.14235339315606,0.396052555643191,0.912488680332592,1.90842633285808,3193,840,1551,1404,4180
"162421",8479,2012,"PEP","71344810",18720,NA,74638,22417,-11052.551,6297,1544,5999,2449,23544,2608,3305,3313,9770,3.96,33496,17089,52239,6178,3226,0,37671,65492,22294,1122,5063,1840,894,552,0.0218521396607626,0.504716096358423,0.130898469948284,0.426769271999847,0.877461882687103,1.90481411704333,3313,894,2104,3550,2761
"162422",8479,2013,"PEP","71344810",22203,NA,77478,24238,-8386.03,9375,1529,4195,3894,24333,2582,3434,3452,10002,4.37,32652,17839,53089,6740,3008,0,41293,66415,24279,1123,5986,3076,918,665,0.0563256666408529,0.532964196287979,0.129094710756602,0.457326376462167,0.857211079274117,1.94047717878785,3452,918,1885,301,5954
"162423",8479,2014,"PEP","71344810",20663,NA,70509,17397,-11626.345,6134,1488,3855,2189,23821,2533,3730,3815,10125,4.31,29053,18092,52961,6513,5022,0,38423,66683,17438,755,5304,1847,918,718,0.0364634302004,0.544937525705938,0.143598689528996,0.329261154434395,0.945737423591315,2.01600312569979,3815,918,4267,1666,7334
"162424",8479,2015,"PEP","71344810",23031,NA,69667,11882,-15345.534,9096,1448,8702,4095,29213,2323,4040,4072,10142,3.71,27258,17578,57637,5452,5005,0,37153,63056,11923,504,4959,1808,978,754,0.0782723527638624,0.533294099071296,0.145578250821766,0.206863646615889,0.905105717197525,1.95031124149011,4072,978,4501,4607,4944
"162425",8479,2016,"PEP","71344810",27089,NA,74129,11054,-16777.559,9158,1428,7818,5609,30053,2368,4227,4283,10330,4.39,27863,21135,62930,6329,3007,0,38599,62799,11095,465,5073,1393,1118,760,0.0803194431329169,0.520700400652916,0.139351670736149,0.176307007786429,0.84715833209675,1.85110087975939,4283,1118,2542,2209,5734
"162426",8479,2017,"PEP","71344810",31027,NA,79804,10848,-17701.951,10610,1420,7509,4406,33796,2369,4472,4536,10820,3.4,28582,20502,68823,4857,2150,0,39782,63525,10889,462,3242,1962,1164,737,0.131885619768433,0.498496315974137,0.135582176332013,0.158217456373596,0.796012731191419,1.79891422827357,4536,1164,1688,3103,4285
"162427",8479,2018,"PEP","71344810",21893,NA,77648,14518,-16115,8721,1409,0,4007,28295,2399,4930,5098,10457,8.84,30633,22138,63046,12515,2105,0,44828,64661,14518,281,3499,1203,1272,680,-0.00315526478466928,0.577323305172059,0.134671852462394,0.230276306189132,0.83274520914898,1.8329517275609,5098,1272,1824,-4007,12201
