Date,G0M910,A0M001,A0M005,A0M008,A0M033,A0M029,U0M019,A0M106,U0M107,U0M129,U0M083,A0M125,G0M920,G0M930,A0M043,A0M044
Feb-59,28.3,40.2,294.1,47757,8350,1478,55.62,1783,-,1.54,95.2,-,27,27.1,6,2.1
Mar-59,28.7,40.3,286.2,50371,9955,1542,54.77,1788.2,-,1.53,95.8,-,27.2,27.3,5.9,1.9
Apr-59,29.1,40.4,259.7,51272,11248,1611,56.15,1796.3,-,1.19,96.4,-,27.4,27.3,5.6,1.8
May-59,29.2,40.5,246.1,50851,10205,1539,57.1,1798.3,-,1.16,96.9,-,27.7,27.4,5.2,1.5
Jun-59,29.5,40.7,248,49832,10695,1513,57.96,1810.4,-,1.41,97.5,-,27.9,27.6,5.1,1.4
Jul-59,29.6,40.6,259.4,49906,10892,1490,57.46,1817,-,0.95,97.2,-,27.9,27.7,5,1.4
Aug-59,29.7,40.3,265.5,49129,11050,1452,59.74,1820,-,0.93,96.9,-,27.9,27.9,5.1,1.3
Sep-59,29.6,40.4,293.5,47028,10177,1465,59.4,1824.7,-,0.93,96.7,-,27.5,28.3,5.2,1.3
Oct-59,29.6,40.4,273,46975,11050,1411,57.05,1821.8,-,0.92,96.4,-,27.5,28.5,5.5,1.3
Nov-59,29.5,40.1,313.1,46866,10677,1358,57,1816.1,-,0.55,96.1,-,27.5,28.7,5.7,1.3
Dec-59,29.3,39.9,353.6,45860,10037,1298,57.23,1818.7,-,0.53,95.8,-,27.6,28.7,5.8,1.4
Jan-60,29.9,40.3,277.2,49279,10844,1394,59.06,1820.8,-,0.7,98.7,-,28.2,28.7,5.3,1.3
Feb-60,29.9,40.6,282.6,48342,9969,1325,58.03,1824.3,-,0.73,101.7,-,28.4,28.6,5.2,1.3
Mar-60,29.9,40.3,272.6,47617,10289,1319,55.78,1823.6,-,0.52,104.6,-,28.4,28.7,4.8,1.2
Apr-60,29.8,40,305.3,46753,10127,1158,55.02,1828.1,-,0.41,102.6,-,28.3,28.9,5.4,1.4
May-60,29.9,40,296,47078,10562,1232,55.73,1826.3,-,0.36,100.6,-,28.4,29,5.2,1.3
Jun-60,29.9,40.1,318.1,46551,10563,1276,55.22,1829.3,-,0.5,98.6,-,28.3,29.2,5.1,1.1
Jul-60,30,39.9,323.8,46955,10479,1161,57.26,1837,-,0.83,98.2,-,28.2,29.4,5.4,1.2
Aug-60,30,39.9,337.7,46770,10127,1211,55.84,1844.7,-,0.67,97.9,-,28.1,29.5,5.5,1.3
Sep-60,30.1,39.7,366.1,48054,10109,1205,56.51,1858.5,-,0.82,97.5,-,28.1,29.5,5.6,1.3
Oct-60,30.1,39.4,353.8,47972,10089,1194,54.81,1866.5,-,1.2,96.1,-,28.1,29.4,5.5,1.4
Nov-60,30.2,39.7,375.7,47128,9820,1179,53.73,1871,-,1.42,94.8,-,28.1,29.4,6.1,1.7
Dec-60,30.1,39.3,387.6,46585,9497,1187,55.47,1873.1,-,1.49,93.4,-,27.9,29.5,6.1,1.7
Jan-61,30.1,38.4,383.9,45946,10438,1151,56.8,1881.8,-,1.86,93.9,-,27.7,29.6,6.6,1.6
Feb-61,30.4,39.3,396,44292,9960,1176,59.72,1891.7,-,2.39,94.4,-,27.7,29.7,6.6,1.9
Mar-61,30.5,39.4,432.6,44298,10022,1166,62.17,1904.3,-,1.24,94.9,-,27.6,29.7,6.9,2
Apr-61,30.9,39.5,381.5,47121,10031,1212,64.12,1916.3,-,1.72,96,-,27.8,29.5,6.9,2.1
May-61,31.2,39.5,383.8,47845,9933,1214,65.83,1927.1,-,2.29,97,-,27.9,29.4,7,2.3
Jun-61,31.5,39.7,360.5,48619,9676,1246,66.5,1939.9,-,1.73,98.1,-,28,29.3,7.1,2.4
Jul-61,31.9,40,336.2,49932,10233,1297,65.62,1951.6,-,2.15,98.2,-,28.3,29.2,6.9,2.3
Aug-61,32.1,40,350.9,48446,10707,1313,65.44,1955.2,-,2.75,98.4,-,28.3,29.1,7,2.6
Sep-61,32.6,40.1,318,51160,11210,1405,67.79,1965.6,-,2.04,98.5,-,28.5,29.1,6.6,2.3
Oct-61,32.6,39.5,331.8,50652,10583,1331,67.26,1974.7,-,2.1,97.9,-,28.6,29.2,6.7,2.2
Nov-61,33,40.3,306.4,50942,10695,1361,68,1984.4,-,1.66,97.4,-,28.8,29.3,6.5,2.1
Dec-61,33.5,40.7,306.8,53138,11056,1396,71.08,1998.1,-,1.33,96.8,-,29,29.2,6.1,2
Jan-62,33.7,40.4,298.5,54125,10487,1408,71.74,2010.2,-,1.73,99,-,29.1,29.4,6,1.9
Feb-62,33.8,40,302.9,53650,11099,1360,69.07,2018.4,-,1.93,101.2,-,29.1,29.6,5.8,1.8
Mar-62,34.2,40.4,297.4,53053,11855,1447,70.22,2028.4,-,1.67,103.4,-,29.3,29.6,5.5,1.8
Apr-62,34.3,40.6,289.3,52758,10585,1375,70.29,2043.6,-,1.08,101.1,-,29.4,29.7,5.6,1.7
May-62,34.5,40.6,285.2,51342,11593,1498,68.05,2055.6,-,1.06,98.8,-,29.6,29.8,5.6,1.6
Jun-62,34.5,40.6,302.8,52273,10949,1384,62.99,2066.2,-,1.51,96.5,-,29.6,29.9,5.5,1.6
Jul-62,34.4,40.5,306.2,51511,10782,1398,55.63,2075.6,-,1.23,95.5,-,29.6,30.1,5.5,1.5
Aug-62,34.7,40.5,305.2,52940,10869,1442,56.97,2085.7,-,1.3,94.4,-,29.7,30.2,5.4,1.5
Sep-62,34.8,40.5,307.3,53182,10847,1455,58.52,2094.5,-,1.05,93.4,-,29.7,30.3,5.7,1.5
Oct-62,34.9,40.5,302.4,53357,11102,1481,58,2096.7,-,1.08,95.3,-,29.8,30.3,5.6,1.5
Nov-62,35,40.3,306.5,54187,11278,1432,56.17,2112.5,-,1.03,97.3,-,29.9,30.4,5.4,1.4
Dec-62,35.4,40.5,301.3,54339,12102,1499,60.04,2126.2,-,0.98,99.2,-,30,30.5,5.7,1.5
Jan-63,35.6,40.3,312,53134,11432,1499,62.64,2144.4,-,0.93,99.4,-,30,30.6,5.5,1.5
Feb-63,35.9,40.5,311.9,54541,11629,1457,65.06,2153.8,-,0.91,99.7,-,30,30.6,5.7,1.6
Mar-63,36.2,40.5,303.1,56102,11944,1415,65.92,2167.4,-,0.92,99.9,-,30.2,30.6,5.9,1.6
Apr-63,36.5,40.5,289.6,56721,12123,1468,65.67,2185.6,-,0.95,98,-,30.3,30.7,5.7,1.5
May-63,36.8,40.5,295.5,58359,12149,1504,68.76,2201.1,-,1.07,96,-,30.4,30.8,5.7,1.5
Jun-63,37.1,40.5,289.7,57237,12668,1576,70.14,2214,-,0.93,94.1,-,30.5,30.9,5.9,1.6
Jul-63,37.2,40.7,285.7,56529,12059,1571,70.11,2222.7,-,1,95.1,-,30.6,31,5.6,1.5
Aug-63,37.5,40.6,283.9,58384,12169,1542,69.07,2234.1,-,1,96,-,30.7,31,5.6,1.5
Sep-63,37.6,40.6,291.9,55742,12594,1529,70.98,2245.8,-,0.51,97,-,30.7,31.3,5.4,1.6
Oct-63,37.9,40.6,287.2,56897,12768,1650,72.85,2260.2,-,0.6,97,-,30.8,31.3,5.5,1.5
Nov-63,38.2,40.7,284.4,58642,12811,1652,73.03,2269.3,-,0.61,97,-,31,31.4,5.5,1.5
Dec-63,38.4,40.7,278.3,58385,12447,1585,72.62,2284.8,-,0.64,97,-,31,31.7,5.7,1.5
Jan-64,38.6,40.6,303.4,59162,13017,1661,74.17,2291.2,-,0.75,97.8,-,31.1,31.7,5.5,1.4
Feb-64,38.8,40.1,285.3,60419,14204,1513,76.45,2298.1,-,0.69,98.6,-,31.3,31.7,5.6,1.5
Mar-64,39.1,40.7,271.8,59556,12671,1684,77.39,2308.8,-,0.67,99.4,-,31.4,31.8,5.4,1.4
Apr-64,39.3,40.6,279.1,59505,13552,1532,78.8,2320.2,-,0.79,98.7,-,31.5,31.9,5.4,1.4
May-64,39.6,40.7,266.8,61907,13354,1475,79.94,2329.4,-,0.76,97.9,-,31.7,32.1,5.3,1.3
Jun-64,39.9,40.8,264.4,61107,14722,1516,80.72,2343.7,-,0.7,97.2,-,31.8,32,5.1,1.3
Jul-64,40.2,40.8,258.4,61202,15149,1494,80.24,2357.1,-,0.67,97.8,-,31.9,32.1,5.2,1.4
Aug-64,40.5,40.8,261.4,63118,13911,1522,83.22,2371.5,-,0.77,98.5,-,32,32.1,4.9,1.4
Sep-64,40.8,40.9,245.8,61369,14066,1525,82,2388.8,-,0.69,99.1,-,32.2,32.3,5,1.3
Oct-64,41.1,40.9,247.3,64328,13996,1476,83.41,2405.2,-,0.75,99.8,-,32.4,32.4,5.1,1.3
Nov-64,41.2,40.7,251,61575,14336,1437,84.85,2416.5,-,0.83,100.4,-,32.2,32.6,5.1,1.2
Dec-64,41.5,41,264.1,62856,14503,1463,85.44,2429.8,-,0.63,101.1,-,32.5,32.6,4.8,1.3
Jan-65,41.8,41.2,252.9,65136,14807,1358,83.96,2441.8,-,0.33,101.7,-,32.8,32.6,5,1.2
Feb-65,42.2,41.3,244.7,65755,14699,1475,86.12,2455.2,-,0.29,102.4,-,33,32.9,4.9,1.1
Mar-65,42.4,41.3,249.9,65915,14407,1383,86.75,2470.9,-,0.23,103,-,33.1,33.1,5.1,1.2
Apr-65,42.8,41.3,239,66850,15602,1414,86.83,2483.7,-,0.17,103.2,-,33.3,33.2,4.7,1.1
May-65,43,41.2,239.2,66979,15382,1356,87.97,2492.4,-,0.11,103.4,-,33.5,33.4,4.8,1.1
Jun-65,43.2,41.3,225.2,66671,14969,1409,89.28,2496.6,-,0.11,103.7,-,33.6,33.6,4.6,1
Jul-65,43.4,41.2,226,67118,15487,1448,85.04,2506.4,-,0.17,103.9,-,33.7,33.6,4.6,1.1
Aug-65,43.6,41.2,232.4,68633,15782,1444,84.91,2520.5,-,0.11,104.1,-,33.9,33.7,4.4,0.9
Sep-65,43.8,41.1,249.7,68695,15366,1458,86.49,2536.4,-,0.13,104.3,-,34.1,33.8,4.4,1
Oct-65,44.1,41.1,219.9,65331,15880,1432,89.38,2556.3,-,0.28,105.3,-,34.2,33.9,4.3,1
Nov-65,44.6,41.2,210.3,67618,16348,1493,91.39,2573.1,-,0.27,106.3,-,34.5,34,4.2,0.9
Dec-65,45,41.3,214,69965,16620,1525,92.15,2586.3,-,0.35,107.3,-,34.7,34.2,4.1,0.9
Jan-66,45.4,41.3,208,71354,17779,1535,91.73,2596.7,-,0.3,104.9,-,34.9,34.3,4,0.9
Feb-66,45.6,41.5,223.4,70972,16871,1546,93.32,2609.6,-,0.19,102.4,-,35.1,34.4,4,0.8
Mar-66,45.8,41.7,220.1,71927,18361,1353,92.69,2613.3,-,0.23,100,-,35.2,34.6,3.8,0.8
Apr-66,46.3,41.6,183.2,74491,18101,1441,88.88,2621.6,-,0.22,98.7,-,35.5,34.7,3.8,0.8
May-66,46.5,41.8,179.9,72873,18589,1337,91.6,2624.3,-,0.08,97.3,-,35.6,35,3.8,0.8
Jun-66,46.2,41.5,193,72126,18632,1259,86.78,2625.5,-,-0.12,96,-,35.7,35.2,3.9,0.7
Jul-66,46.1,41.4,195.6,72517,18373,1116,86.06,2625.1,-,-0.36,94.2,-,35.9,35.4,3.8,0.6
Aug-66,46,41.2,200.3,71177,19219,1089,85.84,2618.4,-,-0.28,92.5,-,36,35.7,3.8,0.6
Sep-66,45.9,41.4,196,71194,17874,1024,80.65,2617.8,-,-0.31,90.7,-,36.1,35.8,3.8,0.6
Oct-66,45.8,41.2,198.9,72451,18736,905,77.81,2625.1,-,-0.22,90.5,-,36.2,35.8,3.7,0.6
Nov-66,45.7,41.3,204,72651,18310,862,77.13,2619.8,-,-0.52,90.4,-,36.4,35.8,3.7,0.6
Dec-66,45.7,41.2,209.7,71019,17513,859,80.99,2624.7,-,-0.6,90.2,-,36.4,36.1,3.6,0.6
Jan-67,45.6,40.9,220.9,70588,17600,867,81.33,2635.3,-,-0.56,92.3,-,36.5,36.1,3.8,0.6
Feb-67,45.9,41.1,208.7,70239,14977,1125,84.45,2642.7,-,-0.36,94.3,-,36.7,36.3,3.9,0.6
Mar-67,45.7,40.4,252,69829,15797,1025,87.36,2658.8,-,-0.37,96.4,-,36.6,36.4,3.8,0.6
Apr-67,45.9,40.5,247.6,69332,15946,1078,89.42,2682.6,-,0.01,95.7,-,36.6,36.5,3.8,0.6
May-67,46,40.4,263.6,70075,16067,1171,90.96,2691.3,-,0.54,95,-,36.7,36.5,3.8,0.6
Jun-67,46.4,40.4,234.7,70511,16364,1215,92.59,2714,-,0.91,94.3,-,36.7,36.5,3.8,0.5
Jul-67,46.8,40.4,221.7,71085,16854,1321,91.43,2731.4,-,1.04,94.7,-,36.8,36.8,3.9,0.5
Aug-67,47,40.5,232.1,70789,17151,1330,93.01,2745.5,-,1.37,95.1,-,36.8,36.8,3.8,0.5
Sep-67,47.5,40.6,211.6,73839,17468,1389,94.49,2761.2,-,1.38,95.5,-,37.1,36.7,3.8,0.6
Oct-67,47.7,40.6,215.3,71469,16636,1445,95.81,2773.9,-,1.31,94,-,37.1,36.7,3.8,0.6
Nov-67,47.8,40.6,216.6,70647,16704,1446,95.66,2785.1,-,1.6,92.6,-,37.1,36.8,4,0.6
Dec-67,48.1,40.6,199.4,72934,16914,1465,92.66,2791.9,-,1.62,91.1,-,37.5,36.8,3.9,0.6
Jan-68,48.6,40.7,214.7,76771,17739,1486,95.3,2806.7,-,1.19,92.2,-,37.8,36.9,3.8,0.6
Feb-68,48.7,40.4,215.5,75461,22097,1332,95.04,2807.7,-,0.93,93.2,-,37.7,36.9,3.7,0.6
Mar-68,48.9,40.8,196.8,74396,18960,1516,90.75,2812.2,-,0.85,94.3,-,37.9,37.1,3.8,0.6
Apr-68,49,40.8,196.1,74255,19099,1547,89.09,2817.7,-,0.69,92.8,-,38,37.2,3.7,0.6
May-68,49.1,40.3,198.8,74138,19681,1454,95.67,2822.1,-,-0.12,91.4,-,38.1,37.3,3.5,0.5
Jun-68,49.4,40.9,195.9,75590,19114,1465,97.87,2828.6,-,-0.24,89.9,-,38.3,37.5,3.5,0.5
Jul-68,49.6,40.9,191.8,76154,19545,1469,100.53,2838.9,-,-0.35,89.8,-,38.5,37.6,3.7,0.5
Aug-68,49.7,40.8,195.8,75365,21306,1519,100.3,2846,-,-0.52,89.7,-,38.6,37.6,3.7,0.5
Sep-68,49.6,40.7,197.2,72319,20259,1533,98.11,2854,-,-0.61,89.6,-,38.6,37.9,3.5,0.5
